SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Ba,Nb,Sr,Zr,Ba/Zr,Nb/Zr,Label
55.84,1.13,16.28,9.21,0.17,3.58,7.74,3.86,0.91,0.25,20.6,258,2.8,428,118,2.186440678,0.023728814,Barren
52.87,1.11,17.37,8.35,0.15,5.08,9.86,2.88,0.64,0.2,15.1,200,2.6,437,95,2.105263158,0.027368421,Barren
51.79,1.14,16.89,9.03,0.16,6.63,9.77,2.91,0.61,0.21,14.6,191,2.4,429,92,2.076086957,0.026086957,Barren
55,1.37,16.11,9.05,0.16,4.2,8.1,3.83,0.86,0.29,20.4,255,2.8,428,114,2.236842105,0.024561404,Barren
51.97,0.98,16.9,8.56,0.16,7.4,9.81,2.92,0.58,0.19,12.9,182,1.9,439,84,2.166666667,0.022619048,Barren
55.38,1.32,16.04,9.61,0.17,3.67,7.65,3.75,0.91,0.26,21.4,256,3.1,428,118,2.169491525,0.026271186,Barren
52.4,1.11,17.97,8.37,0.15,5.01,10.31,3,0.66,0.23,15.5,200,2.4,453,97,2.06185567,0.024742268,Barren
52.68,1.05,18.74,8.03,0.15,4.47,10.25,3.06,0.61,0.19,14,196,2.5,482,89,2.202247191,0.028089888,Barren
51.47,0.86,17.58,8.21,0.15,7.04,10.84,2.67,0.43,0.13,9.7,138,1.3,410,62,2.225806452,0.020967742,Barren
52.74,1.03,18.2,8.22,0.15,5.07,10.22,3.08,0.58,0.19,12.2,181,2.9,474,84,2.154761905,0.03452381,Barren
52.71,1.23,18.25,7.93,0.17,4.48,9.91,3.38,0.69,0.29,14.7,217,2.7,493,110,1.972727273,0.024545455,Barren
53.15,1.08,18.68,7.86,0.15,4.32,10.26,3.2,0.66,0.21,14.8,211,2.5,470,96,2.197916667,0.026041667,Barren
52.04,1.14,17.59,8.74,0.15,5.74,9.74,3.2,0.64,0.22,14.9,193,2.1,465,94,2.053191489,0.022340426,Barren
52.21,1.32,16.62,9.41,0.17,5.33,9.59,3.13,0.78,0.28,18.7,238,3.4,426,119,2,0.028571429,Barren
52.43,1.17,18.13,8.42,0.15,4.9,9.95,3.23,0.68,0.24,15.6,209,2.1,469,100,2.09,0.021,Barren
52.19,1.14,16.82,8.76,0.16,6.12,9.61,3.18,0.63,0.24,15.5,198,2.7,429,100,1.98,0.027,Barren
52.37,1.15,16.85,8.78,0.16,6.11,9.58,3.21,0.65,0.22,15.5,193,2,432,99,1.949494949,0.02020202,Barren
52.6,1.15,16.79,8.78,0.16,6.05,9.62,3.12,0.65,0.22,15.7,206,2.6,433,102,2.019607843,0.025490196,Barren
52.23,1.16,16.86,8.98,0.16,5.85,9.44,3.17,0.66,0.24,15.3,202,3.1,473,103,1.961165049,0.030097087,Barren
70.47,0.38,14.02,3.8,0.1,0.45,1.92,5.11,2.85,0.09,75,657,7.3,160,347,1.893371758,0.021037464,Barren
51.48,1.16,17.75,8.1,0.16,6.24,9.18,3.27,1.13,0.38,28.2,362,8.7,594,150,2.413333333,0.058,Barren
51.93,1.08,17.57,8.13,0.16,6.56,9.21,3.03,1.08,0.34,27.6,358,7.3,583,144,2.486111111,0.050694444,Barren
52.14,1.32,16.07,9.94,0.17,5.98,9.03,3.19,0.77,0.28,18.7,232,2.38,424,108,2.148148148,0.022037037,Barren
51.93,1.08,17.57,8.13,0.16,6.56,9.21,3.03,1.08,0.34,27.6,358,7.3,583,144,2.486111111,0.050694444,Barren
51.48,1.16,17.75,8.1,0.16,6.24,9.18,3.27,1.13,0.38,28.2,362,8.7,594,150,2.413333333,0.058,Barren
56.41,1.41,16.07,9.32,0.17,3.07,6.61,4,1.52,0.41,37.7,401,5.1,449,163,2.460122699,0.031288344,Barren
62.22,1.3,15.16,6.1,0.14,1.65,4,5.02,2.89,0.46,78.3,730,13,306,366,1.994535519,0.035519126,Barren
64.57,1.08,15.6,4.89,0.12,1.22,3.31,5.2,2.99,0.33,81.7,744,13.6,305,369,2.016260163,0.036856369,Barren
64.33,1.09,15.38,5,0.14,1.25,3.27,5.46,2.96,0.36,79.4,755,12.3,297,360,2.097222222,0.034166667,Barren
64.32,1.12,15.41,4.94,0.14,1.23,3.3,5.41,2.96,0.35,81.8,746,13,306,373,2,0.034852547,Barren
51.23,1.3,18.11,9.78,0.19,4.94,8.63,3.19,1.17,0.36,32.1,375,6.3,621,154,2.435064935,0.040909091,Barren
51.39,1.31,18.02,9.9,0.18,4.69,8.63,3.44,1.25,0.4,34.2,384,6.6,626,157,2.445859873,0.042038217,Barren
60.56,1.27,15.3,7.86,0.23,1.68,3.96,5.2,2.41,0.57,59.4,708,11.3,410,270,2.622222222,0.041851852,Barren
62.74,1.14,15.2,6.98,0.22,1.2,3.2,5.2,2.73,0.43,66.9,802,13.3,334,311,2.578778135,0.042765273,Barren
61.9,0.92,15.84,6.68,0.21,1.33,3.57,4.99,2.68,0.37,77.1,730,11.1,414,285,2.561403509,0.038947368,Barren
62.93,0.92,16.01,5.62,0.18,1.25,3.5,5.63,2.77,0.39,77.8,747,10.8,392,302,2.473509934,0.035761589,Barren
52.07,1.05,18.27,8.54,0.15,5.25,9.38,3.4,0.75,0.19,22.9,317,2.72,628,112,2.830357143,0.024285714,Barren
52.07,1.05,18.27,9.49,0.15,5.25,9.38,3.1,0.75,0.19,22.9,317,2.72,628,112,2.830357143,0.024285714,Barren
55.85,1.3,16.29,9.03,0.15,4.49,7.98,3.74,0.9,0.21,22.9,309,2.63,583,105,2.942857143,0.025047619,Barren
54.18,0.84,18.09,4.59,0.13,3.21,5.46,2.62,0.37,0.12,13,94,2.8,82,408,0.230392157,0.006862745,Barren
52.73,1.21,18.05,10.47,0.18,4.57,8.42,3.93,0.47,0.19,9.8,185,1.6,478,72,2.569444444,0.022222222,Barren
53.56,1.17,17.93,10.07,0.19,4.29,8.5,3.88,0.51,0.18,8.5,192,1.8,478,78,2.461538462,0.023076923,Barren
51.82,1.19,18.54,11.4,0.18,4.23,8.16,3.82,0.52,0.17,8,182,1.1,445,61,2.983606557,0.018032787,Barren
51.4,1.12,18.69,11.48,0.18,4.3,8.2,3.72,0.55,0.16,9,192,1.1,510,63,3.047619048,0.017460317,Barren
54.66,1.09,16.89,9.18,0.17,3.98,8,3.86,0.93,0.21,20.9,271,2.71,425,91,2.978021978,0.02978022,Barren
53.76,1.08,17.11,9.14,0.17,4.37,8.73,3.65,0.78,0.2,18.3,232,2.54,441,87,2.666666667,0.029195402,Barren
52.12,1.06,17.21,9.64,0.17,5.32,9.28,3.3,0.64,0.17,13.2,198,2.04,417,70,2.828571429,0.029142857,Barren
52.19,1.3,16.29,9.62,0.18,5.52,8.97,3.19,0.84,0.26,18.3,271,3.8,397,123,2.203252033,0.030894309,Barren
52.99,0.94,18.24,7.68,0.17,5.81,10.19,2.61,0.58,0.2,11.7,226,3.3,461,85,2.658823529,0.038823529,Barren
50.45,0.83,18.94,8.53,0.14,5.91,10.53,2.9,0.42,0.13,7.5,143,2.1,435,58,2.465517241,0.036206897,Barren
50.9,0.9,17.88,8.29,0.17,6.92,9.95,2.85,0.56,0.19,10.8,209,2.7,455,80,2.6125,0.03375,Barren
51.84,0.96,18.13,7.78,0.16,5.8,10.05,2.95,0.59,0.17,11.3,218,3.3,463,83,2.626506024,0.039759036,Barren
51.23,0.93,18.32,8.06,0.16,5.89,9.92,2.82,0.58,0.17,12.7,195,2.7,435,77,2.532467532,0.035064935,Barren
51.58,0.89,18.36,8.31,0.15,5.97,10.06,2.69,0.67,0.19,15.8,198,2.3,477,81,2.444444444,0.028395062,Barren
51.83,0.89,18.29,8.27,0.16,6,10.03,3.02,0.65,0.2,15.8,188,3,476,80,2.35,0.0375,Barren
50.3,0.85,18.88,8.6,0.15,5.91,10.59,2.95,0.44,0.14,7.7,146,2,437,59,2.474576271,0.033898305,Barren
54.19,0.7,17.29,7.35,0.14,5.94,9.4,2.92,0.83,0.13,19.9,271,3.7,350,122,2.221311475,0.030327869,Barren
52.84,1.32,16.4,9.66,0.18,5.49,8.97,3.12,0.86,0.29,20.2,270,3.2,397,120,2.25,0.026666667,Barren
71.33,0.36,13.96,3.89,0.14,0.14,1.74,5.06,2.82,0.07,71.2,775,10.2,141.6,385,2.012987013,0.026493506,Barren
71.06,0.36,13.81,3.98,0.15,0.15,1.77,5.09,2.81,0.08,70.4,784,10.6,143.1,388,2.020618557,0.027319588,Barren
71.41,0.38,13.96,3.83,0.13,0.15,1.75,5.12,2.84,0.07,74.1,760,10.2,147.4,391,1.943734015,0.026086957,Barren
70.97,0.37,13.82,4.03,0.14,0.15,1.8,5.04,2.82,0.07,73.1,740,9.9,146.5,373,1.983914209,0.026541555,Barren
68.55,0.79,14.32,4.4,0.12,0.62,2.52,4.95,2.59,0.17,65.2,687,9.7,185.9,338,2.032544379,0.028698225,Barren
68.96,0.79,14.32,4.43,0.11,0.6,2.55,5.15,2.62,0.17,65.2,691,9.5,188,341,2.026392962,0.027859238,Barren
69.3,0.77,14.48,4.32,0.13,0.57,2.43,5.06,2.62,0.15,68.4,674,9.2,183.2,338,1.99408284,0.027218935,Barren
69.73,0.7,14.18,4.13,0.1,0.5,2.24,5.01,2.73,0.14,68.8,716,9.7,168.7,357,2.005602241,0.027170868,Barren
69.92,0.68,14.11,4.03,0.11,0.48,2.15,5.13,2.75,0.14,70.5,735,9.5,160.9,362,2.03038674,0.026243094,Barren
69.52,0.68,14.18,4.01,0.09,0.46,2.19,5.5,2.77,0.14,69.7,766,9.6,162.8,360,2.127777778,0.026666667,Barren
69.83,0.7,14.2,4.08,0.12,0.46,2.23,5.09,2.72,0.14,70.9,702,9.5,168.9,359,1.955431755,0.026462396,Barren
70.01,0.65,14.06,3.91,0.11,0.43,2.05,4.99,2.8,0.12,72.9,704,9.9,156.7,366,1.923497268,0.02704918,Barren
69.53,0.74,14.24,4.48,0.11,0.67,2.27,5.25,2.64,0.16,70,778,8.4,168,341,2.281524927,0.024633431,Barren
70.91,0.34,13.79,4.67,0.14,0.31,1.77,5.18,2.79,0.07,62,747,8,138,307,2.433224756,0.026058632,Barren
60.69,1.35,15.81,8.18,0.18,2.18,5.23,4.5,1.62,0.54,44,555,6.6,365,223,2.488789238,0.029596413,Barren
56.12,1.57,15.02,10.4,0.18,3.62,7.19,3.8,1.22,0.35,33,399,4.9,360,161,2.47826087,0.030434783,Barren
55.74,1.74,14.81,11.68,0.19,3.82,7.4,3.72,1.15,0.33,30,400,4.3,350,152,2.631578947,0.028289474,Barren
71.14,0.38,13.89,4.32,0.14,0.29,1.72,5.34,2.87,0.08,74,822,8.7,140,365,2.252054795,0.023835616,Barren
51.23,1,17.18,10.02,0.16,6.7,9.56,2.85,0.48,0.19,7,159,2,388,64,2.484375,0.03125,Barren
58.98,1.08,14.73,8.51,0.15,3.47,6.13,3.55,1.97,0.24,51,492,6.5,287,219,2.246575342,0.029680365,Barren
70.25,0.69,14.08,4.38,0.11,0.64,2.16,5.21,2.62,0.15,73,776,7.9,161,342,2.269005848,0.023099415,Barren
53.22,1.14,16.16,11,0.17,5.11,9.52,3.32,0.59,0.18,13,210,2,417,68,3.088235294,0.029411765,Barren
56,1.25,16.14,10.43,0.16,3.14,7.68,3.64,0.61,0.14,10,214,1.9,377,70,3.057142857,0.027142857,Barren
52.04,0.86,18.13,8.95,0.15,6.13,10.59,2.87,0.36,0.13,7,124,2.5,419,62,2,0.040322581,Barren
52.91,1.88,14.97,11.86,0.18,4.73,8.12,3.16,1.3,0.52,37,406,5.3,351,160,2.5375,0.033125,Barren
53.58,1.83,15.24,11.8,0.18,3.81,7.86,3.36,1.48,0.49,42,432,6,356,184,2.347826087,0.032608696,Barren
54.8,1.61,15.66,11.4,0.18,3.34,7.11,3.77,1.07,0.37,26,337,4.5,362,136,2.477941176,0.033088235,Barren
61.57,1.11,15.2,7.7,0.16,2.11,5.01,4.21,1.93,0.32,52,511,5.9,295,206,2.480582524,0.028640777,Barren
57.07,1.35,15.66,11,0.17,2.99,6.7,4.02,1.31,0.32,32,371,4.7,356,150,2.473333333,0.031333333,Barren
54.7,1.26,16.08,10.46,0.17,4.22,8.59,3.46,0.88,0.27,18,255,3.1,389,89,2.865168539,0.034831461,Barren
54.1,1.54,15.47,11.3,0.18,4.58,8.37,3.45,0.97,0.32,19,301,3.9,369,118,2.550847458,0.033050847,Barren
51.87,1.05,17.72,9.73,0.16,5.98,9.72,2.96,0.6,0.19,12,197,2.8,404,66,2.984848485,0.042424242,Barren
53.68,1.26,15.8,10.75,0.18,4.91,8.87,3.35,0.85,0.24,19,274,3.9,392,112,2.446428571,0.034821429,Barren
69.6,0.64,14,4.21,0.11,0.59,2.08,5.21,2.77,0.14,72,728,8.1,153,340,2.141176471,0.023823529,Barren
52.72,1.14,17.41,9.61,0.16,5.25,9.03,3.2,0.84,0.26,18,257,3.3,411,115,2.234782609,0.028695652,Barren
51.25,0.92,17.81,8.83,0.16,6.79,9.96,2.84,0.4,0.15,9,171,2.7,424,60,2.85,0.045,Barren
60.19,1.22,15.66,8.21,0.16,2.31,5.42,4.44,1.66,0.41,44,484,5.2,351,213,2.272300469,0.024413146,Barren
70.21,0.35,13.6,4.01,0.13,0.28,1.68,5.25,2.83,0.07,76,774,8.1,137,354,2.186440678,0.022881356,Barren
69.27,0.53,14.13,5.16,0.15,0.47,2.21,5.16,2.66,0.12,66,692,7.7,197,308,2.246753247,0.025,Barren
66.47,0.6,14.4,6.25,0.16,0.63,2.6,5.02,2.56,0.15,57,661,6.8,196,264,2.503787879,0.025757576,Barren
70.36,0.43,13.93,4.66,0.14,0.46,2.05,5.26,2.6,0.1,65,795,7.9,155,322,2.468944099,0.024534161,Barren
56.05,1.42,16.46,9.84,0.17,3.27,7.8,3.74,1.14,0.34,29,381,4.8,379,153,2.490196078,0.031372549,Barren
59.49,1.18,15.08,8.56,0.15,2.38,5.51,4.08,1.69,0.32,52,531,4.9,317,210,2.528571429,0.023333333,Barren
66.38,0.76,14.04,5.01,0.12,0.78,2.57,4.89,2.54,0.18,62,658,8,169,274,2.401459854,0.02919708,Barren
66.54,0.78,14.21,5.06,0.12,0.8,2.62,5,2.51,0.18,63,703,8.7,190,288,2.440972222,0.030208333,Barren
67.58,0.76,14.28,4.91,0.12,0.74,2.47,5.07,2.62,0.16,62,677,8.3,170,277,2.444043321,0.029963899,Barren
58.09,0.55,18.73,7.16,0.11,2.79,6.97,3.52,0.14,0.2,3,79,2.5,446,80,0.9875,0.03125,Barren
56.46,1.73,14.85,10.1,0.2,3.26,6.81,3.89,1.3,0.37,33.9,381,5.1,347.6,173,2.202312139,0.029479769,Barren
56.59,1.73,15.11,9.47,0.2,3.09,6.92,4.14,1.18,0.48,27.8,333.1,5.4,394.3,167,1.994610778,0.032335329,Barren
56.8,1.15,16.06,7.89,0.16,3.65,7.73,3.61,1.15,0.26,24.5,358,4.3,386.6,168,2.130952381,0.025595238,Barren
56.82,1.6,15.68,8.78,0.19,3.12,6.81,4.09,1.21,0.53,27.7,632,5.2,405.9,172,3.674418605,0.030232558,Barren
59.75,1.26,15.5,7.87,0.18,2.29,5.64,4.36,1.64,0.41,42.7,479,7,338.5,230,2.082608696,0.030434783,Barren
60.51,1.24,15.85,7.72,0.17,2.12,5.4,4.41,1.64,0.41,40.9,479.1,6.3,353.5,220,2.177727273,0.028636364,Barren
53.73,2.56,14.79,10.92,0.2,3.47,7.3,3.84,1.04,0.54,23.2,341,5,423.3,154,2.214285714,0.032467532,Barren
54.32,1.26,16.16,9.35,0.18,4.18,8.66,3.34,0.83,0.27,18.7,245,2.4,396.1,106,2.311320755,0.022641509,Barren
54.31,1.26,16.28,9.43,0.17,4.2,8.65,3.6,0.77,0.26,17.23,254,2.9,401,102,2.490196078,0.028431373,Barren
54.73,1.66,15.66,9.47,0.18,4.26,8.48,3.4,0.89,0.21,20.6,277,4.7,391.7,130,2.130769231,0.036153846,Barren
55.02,1.57,15.2,9.7,0.18,4.31,8.16,3.44,1.16,0.27,27.6,349,5.7,385.6,155,2.251612903,0.036774194,Barren
64.05,0.92,15.65,5.91,0.15,1.34,4.03,4.91,2.19,0.3,58.1,623,8.6,288.8,293,2.126279863,0.029351536,Barren
64.57,1.04,14.58,6.48,0.15,1.37,3.82,4.68,2.33,0.32,63.2,601,6.6,267.4,287,2.094076655,0.022996516,Barren
64.65,0.94,14.79,6.21,0.13,1.54,4.08,4.41,2.64,0.25,79.8,643,8.3,244.7,322,1.99689441,0.025776398,Barren
48.39,0.7,14.64,9.7,0.17,14.32,8.55,2.19,0.31,0.13,6,133,1.7,352.4,46,2.891304348,0.036956522,Barren
51.22,0.66,16.57,8.04,0.15,9.4,10.34,2.38,0.49,0.12,7.49,140.1,1.3,494.8,41,3.417073171,0.031707317,Barren
51.23,0.98,18.32,8.07,0.18,5.89,9.94,2.82,0.58,0.17,12.7,195.4,2.7,435,77,2.537662338,0.035064935,Barren
51.58,0.89,18.36,8.31,0.15,5.97,10.06,2.69,0.67,0.19,15.8,198,2.3,476.7,81,2.444444444,0.028395062,Barren
51.83,0.89,18.29,8.27,0.16,6,10.03,3.02,0.65,0.2,15.76,188.1,3,476.5,80,2.35125,0.0375,Barren
51.84,0.96,18.13,7.78,0.16,5.8,10.05,2.95,0.59,0.17,11.3,218.1,3.3,463,83,2.627710843,0.039759036,Barren
50.3,0.85,18.88,8.6,0.15,5.91,10.59,2.95,0.44,0.14,7.75,146.4,2,436.6,59,2.481355932,0.033898305,Barren
50.45,0.83,18.94,8.53,0.14,5.91,10.53,2.9,0.42,0.13,7.52,142.8,2.1,434.5,58,2.462068966,0.036206897,Barren
50.9,0.9,17.88,8.29,0.17,6.92,9.95,2.85,0.56,0.19,10.8,209,2.7,455.2,80,2.6125,0.03375,Barren
50.91,0.65,16.49,8.12,0.13,9.52,10.36,2.46,0.49,0.11,7.49,138.7,1.4,496.3,43,3.225581395,0.03255814,Barren
50.94,0.94,18.12,8.27,0.15,6.78,10.08,2.86,0.55,0.21,10.3,209.6,3.3,462.2,79,2.653164557,0.041772152,Barren
52.14,0.67,20.95,6.83,0.12,4.48,11.67,2.3,0.33,0.15,5.6,151,2.7,452.8,59,2.559322034,0.045762712,Barren
52.19,1.3,16.29,9.62,0.18,5.52,8.97,3.19,0.84,0.26,18.3,271.3,3.8,397.2,123,2.205691057,0.030894309,Barren
52.44,1.34,16.41,9.65,0.17,5.63,8.97,3.08,0.85,0.29,18.5,273.5,2.6,398,118,2.31779661,0.022033898,Barren
52.84,1.32,16.4,9.66,0.18,5.49,8.97,3.12,0.86,0.29,20.2,269.7,3.2,396.6,120,2.2475,0.026666667,Barren
52.99,0.94,18.24,7.68,0.17,5.81,10.19,2.61,0.58,0.2,11.7,226,3.3,460.6,85,2.658823529,0.038823529,Barren
54.19,0.7,17.29,7.35,0.14,5.94,9.4,2.92,0.83,0.13,19.9,270.6,3.7,349.6,122,2.218032787,0.030327869,Barren
63.84,1.01,14.85,6.5,0.14,1.59,4.19,4.3,2.23,0.3,58.5,540,7.1,297.1,271,1.992619926,0.026199262,Barren
67.82,0.63,14.33,5.14,0.15,0.46,2.56,5.17,2.54,0.15,66.9,674,9,226.9,334,2.017964072,0.026946108,Barren
67.9,0.65,14.53,5.26,0.16,0.45,2.62,5.16,2.5,0.16,65,684,9.3,233.9,332,2.060240964,0.028012048,Barren
68.45,0.75,14.64,4.47,0.13,0.89,2.85,5.05,2.51,0.17,65.3,676,9.2,194.8,333,2.03003003,0.027627628,Barren
68.77,0.75,14.43,4.43,0.12,0.66,2.57,5.12,2.58,0.17,66.5,667.5,9.7,182.6,343,1.94606414,0.028279883,Barren
70.16,0.68,14.14,4.02,0.12,0.44,2.12,5.09,2.75,0.12,72.2,688,9.4,163.4,355,1.938028169,0.026478873,Barren
70.46,0.41,13.92,4.26,0.13,0.28,2.02,5.27,2.75,0.1,68.3,780,10.1,161.2,370,2.108108108,0.027297297,Barren
71.65,0.36,13.92,3.68,0.13,0.04,1.71,5.25,2.85,0.05,73,749,10.5,141.9,383,1.955613577,0.027415144,Barren
57.86,1.44,15.33,8.29,0.22,2.79,5.98,4.15,1.45,0.62,35.1,446,5.6,377.8,192,2.322916667,0.029166667,Barren
58.11,1.57,15.46,8.72,0.2,2.56,5.94,4.24,1.45,0.68,35.1,443,6.8,381.3,194,2.283505155,0.035051546,Barren
62.8,0.68,15.57,6.06,0.13,2.2,5.1,4.37,2.12,0.13,54.04,553,7.1,289.1,279,1.982078853,0.025448029,Barren
66.13,0.96,14.36,5.53,0.14,0.91,3.22,5.22,2.29,0.28,57.5,628,9,230.7,308,2.038961039,0.029220779,Barren
66.69,0.98,14.42,5.59,0.16,0.97,3.26,5.27,2.25,0.29,56.5,634,9,230.4,301,2.106312292,0.029900332,Barren
58.71,0.85,15.71,7.05,0.15,4.31,6.81,3.74,1.53,0.22,38.9,408,4.8,374.7,191,2.136125654,0.02513089,Barren
69.88,0.39,14.17,4.73,0.14,0.38,1.98,5.28,2.77,0.09,68,744,8.9,153,304,2.447368421,0.029276316,Barren
65,0.99,14.97,6.42,0.15,1.17,3.57,5.08,2.23,0.31,52,618,7.4,242,246,2.512195122,0.030081301,Barren
54.96,1.19,15.75,9.36,0.16,3.96,7.84,3.55,0.97,0.26,28,311,4.1,343,138,2.253623188,0.029710145,Barren
65.66,0.72,14.91,5.15,0.12,1.03,3.1,4.8,2.56,0.21,66,662,8.1,222,299,2.214046823,0.027090301,Barren
53.04,1.19,16.87,9.99,0.16,5.44,9.38,3.1,0.74,0.23,19,235,3.5,395,98,2.397959184,0.035714286,Barren
63.44,1.04,14.19,6.96,0.13,1.46,3.35,4.44,2.42,0.32,62,602,6.3,232,260,2.315384615,0.024230769,Barren
63.8,1.04,14.31,6.83,0.15,1.31,3.71,4.28,2.32,0.34,66,610,6.9,243,276,2.210144928,0.025,Barren
64.66,1.05,14.31,6.95,0.14,1.44,3.37,4.5,2.43,0.31,64,580,7.6,232,256,2.265625,0.0296875,Barren
50.84,0.93,18.28,8.85,0.15,5.64,10.04,2.86,0.48,0.17,10,172,2.2,428,64,2.6875,0.034375,Barren
70.76,0.39,13.99,4.45,0.13,0.38,1.87,5.26,2.77,0.1,63,735,8.2,142,326,2.254601227,0.025153374,Barren
66.49,0.78,14.21,5.08,0.12,0.8,2.58,4.97,2.52,0.18,59,657,8.1,172,270,2.433333333,0.03,Barren
70.23,0.39,14.33,4.72,0.13,0.37,1.86,5.32,2.81,0.09,61,730,8.5,145,295,2.474576271,0.028813559,Barren
52.4,1.06,17.25,9.53,0.16,6.06,8.95,3.16,0.83,0.3,17,289,3.4,406,106,2.726415094,0.032075472,Barren
53.47,0.78,18.22,7.93,0.13,5.36,8.78,3.37,1.11,0.21,22,353,1.9,686,75,4.706666667,0.025333333,Barren
52.04,0.98,17.4,9.37,0.16,5.99,9.53,3,0.61,0.22,13,250,2.9,427,79,3.164556962,0.036708861,Barren
63.93,1.04,15,7.14,0.15,1.81,4.19,4.52,2.19,0.32,56,580,6.7,276,259,2.239382239,0.025868726,Barren
51.89,0.95,17.51,9.34,0.15,6.27,9.34,3.01,0.69,0.24,17,254,3,434,98,2.591836735,0.030612245,Barren
51.06,1.04,17.38,9.69,0.16,6.85,8.82,3.06,0.77,0.27,15,287,3.3,472,101,2.841584158,0.032673267,Barren
55.77,0.76,16.01,7.92,0.14,6.03,8.15,3.21,1.1,0.18,27,285,2.8,393,118,2.415254237,0.023728814,Barren
50.87,0.95,17.67,9.82,0.16,7.98,9.45,2.9,0.58,0.2,10,236,2.3,439,74,3.189189189,0.031081081,Barren
54.28,1.03,17.42,9.6,0.17,4.61,8.66,3.34,0.81,0.24,18,276,4.3,435,89,3.101123596,0.048314607,Barren
56.64,1.31,15.78,9.61,0.16,3.25,6.78,3.85,1.48,0.34,36,440,5.1,351,172,2.558139535,0.029651163,Barren
53.08,0.84,17.41,9.19,0.15,5.5,9.46,2.96,0.63,0.17,12,215,2.5,428,73,2.945205479,0.034246575,Barren
68.33,0.59,14.44,5.24,0.13,1.24,2.82,4.77,2.57,0.13,65,656,7,182,311,2.109324759,0.022508039,Barren
52.73,0.82,16.98,9.09,0.15,7.28,9.22,2.89,0.57,0.13,12,204,2.5,381,76,2.684210526,0.032894737,Barren
48.24,0.68,14.02,10.93,0.17,16.33,8.01,2.16,0.3,0.12,7,110,1.9,310,59,1.86440678,0.03220339,Barren
65.62,0.44,14.79,5.04,0.14,0.71,2.28,4.66,2.3,0.1,59,697,9.6,166,310,2.248387097,0.030967742,Barren
56.99,1.52,15.38,9.94,0.2,2.84,6.04,4.21,1.37,0.66,35,449,5.9,381,170,2.641176471,0.034705882,Barren
52.64,1.12,16.74,11.03,0.17,4.24,8.95,3.35,0.72,0.19,15,210,2.3,414,62,3.387096774,0.037096774,Barren
52.64,1.1,16.68,10.75,0.18,4.15,8.99,3.37,0.71,0.19,15,207,2.1,411,61,3.393442623,0.03442623,Barren
51.26,1.11,16.73,10.36,0.16,5.84,9.66,2.92,0.68,0.23,18,203,2.4,365,75,2.706666667,0.032,Barren
51.18,0.91,19.56,8.99,0.14,4.77,10.59,3.08,0.6,0.15,13,195,1.4,494,63,3.095238095,0.022222222,Barren
50.55,0.86,18.21,8.76,0.16,6.61,9.98,2.83,0.51,0.14,10.6,158,1.5,441,62,2.548387097,0.024193548,Barren
50.67,0.86,18.29,8.66,0.17,6.34,10.02,2.93,0.53,0.14,11.4,163,2.2,446,63,2.587301587,0.034920635,Barren
49.11,0.68,20.65,7.74,0.13,6.77,10.91,2.52,0.46,0.11,9,152,1,486,46,3.304347826,0.02173913,Barren
53.6,1.1,18.05,9.6,0.16,3.93,8.25,3.64,0.89,0.25,18,266,3.57,559,111,2.396396396,0.032162162,Barren
52,0.99,17.84,9.87,0.16,4.86,9.35,3.3,0.72,0.18,16,228,1.7,464,74,3.081081081,0.022972973,Barren
53.78,1.15,16.69,9.55,0.17,4.59,8.36,3.58,0.86,0.2,13.6,245,2.52,409,90,2.722222222,0.028,Barren
52.66,1.08,17.03,9.67,0.17,5.04,8.99,3.39,0.71,0.18,11.6,208,2.19,412,78,2.666666667,0.028076923,Barren
52.48,1.07,17.02,9.6,0.17,5.2,9.15,3.4,0.67,0.17,9.5,196,2.07,403,73,2.684931507,0.028356164,Barren
50.9,0.87,18.36,8.64,0.15,6.46,10.08,2.91,0.53,0.14,14.1,203,2.12,564,73,2.780821918,0.029041096,Barren
52.47,1.11,17.18,9.78,0.17,5.05,8.93,3.34,0.71,0.19,11.2,205,2.18,409,78,2.628205128,0.027948718,Barren
52.35,0.81,20.22,7.31,0.14,4.38,10.01,3.12,0.67,0.17,13.9,199,2.11,494,71,2.802816901,0.02971831,Barren
52.64,1.09,17.01,9.65,0.17,5.15,8.99,3.34,0.7,0.18,8.6,203,2.14,396,76,2.671052632,0.028157895,Barren
52.31,1.1,17.21,9.73,0.17,5.1,8.99,3.44,0.69,0.18,10.4,202,2.14,404,76,2.657894737,0.028157895,Barren
51.04,0.89,18.24,9.61,0.15,6.4,10.01,2.98,0.54,0.14,8.61,154,1.68,423,59.4,2.592592593,0.028282828,Barren
51.04,0.89,18.24,8.65,0.15,6.4,10.01,2.98,0.54,0.14,8.6,154,1.68,423,59,2.610169492,0.028474576,Barren
50.95,0.53,18.29,9.16,0.14,7.16,9.11,3.09,0.36,0.23,12,232,3.8,514,88,2.636363636,0.043181818,Barren
50.88,0.43,22.37,7.65,0.12,4.51,10.43,2.93,0.5,0.15,8.4,140,1.8,534,57,2.456140351,0.031578947,Barren
51.95,0.52,18.45,8.85,0.15,6.34,9.76,3.49,0.53,0.15,10.6,158,1.5,441,62,2.548387097,0.024193548,Barren
55.25,0.46,18.14,8.58,0.14,4.21,7.7,3.98,0.93,0.22,21.2,324,3.5,444,107,3.028037383,0.03271028,Barren
