SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Ba,Nb,Sr,Zr,Ba/Zr,Nb/Zr,Label
55.97,1.34,16.67,9.43,0.17,3.29,7.39,3.63,0.83,0.23,17,242,2,386,90,2.688888889,0.022222222,Barren
59.53,1.37,15.79,8.56,0.17,2.29,5.67,4.25,1.34,0.32,31,383,5,336,133,2.879699248,0.037593985,Barren
55.26,1.51,15.9,10.27,0.18,3.66,7.58,3.59,0.97,0.28,21,287,3,378,113,2.539823009,0.026548673,Barren
52.8,1.09,17.96,8.89,0.16,4.71,8.86,3.15,0.71,0.19,16,214,2,414,73,2.931506849,0.02739726,Barren
58.89,1.18,16.39,7.35,0.17,2.58,5.86,4.67,0.95,0.28,19,274,4,418,96,2.854166667,0.041666667,Barren
60.14,1.18,16.52,7.11,0.18,2.44,5.56,4.96,1.01,0.33,21,297,2,427,103,2.883495146,0.019417476,Barren
61.34,1.02,16.06,6.6,0.17,2.12,5.13,5.06,1.15,0.25,23,345,4,376,117,2.948717949,0.034188034,Barren
58.88,1.16,16.28,7.45,0.17,2.58,5.95,4.58,0.96,0.27,20,290,3,414,96,3.020833333,0.03125,Barren
62.59,0.49,15.73,4.48,0.17,0.53,2.25,4.89,1.42,0.18,31,445,5,226,182,2.445054945,0.027472527,Barren
55.7,1.27,16.45,9.43,0.18,3.13,7,3.92,0.77,0.2,15,249,2,429,75,3.32,0.026666667,Barren
54.96,1.26,16.1,9.32,0.18,3.37,7.43,3.77,0.73,0.21,14,231,3,419,74,3.121621622,0.040540541,Barren
52.33,1.09,17.72,9.29,0.17,6.24,9.79,3.01,0.59,0.18,12,193,3,427,66,2.924242424,0.045454545,Barren
52.12,1.06,17.27,9.06,0.16,5.75,9.46,3.09,0.66,0.19,16,206,4,447,70,2.942857143,0.057142857,Barren
67.23,0.48,15.23,4.11,0.15,0.56,2.43,5.35,1.58,0.11,34,454,6,235,172,2.639534884,0.034883721,Barren
